"Notes","Year","Year Code","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code",Deaths,Population,Crude Rate
"Total","1999","1999","35 years","35",,,6275,4605618,136.2
,"1999","1999","36 years","36","Female","F",2379,2281275,104.3
,"1999","1999","36 years","36","Male","M",4288,2262286,189.5
"Total","1999","1999","36 years","36",,,6667,4543561,146.7
,"1999","1999","37 years","37","Female","F",2592,2298941,112.7
,"1999","1999","37 years","37","Male","M",4714,2283851,206.4
"Total","1999","1999","37 years","37",,,7306,4582792,159.4
,"1999","1999","38 years","38","Female","F",2928,2276449,128.6
,"1999","1999","38 years","38","Male","M",5113,2253560,226.9
"Total","1999","1999","38 years","38",,,8041,4530009,177.5
,"1999","1999","39 years","39","Female","F",3114,2323573,134.0
,"1999","1999","39 years","39","Male","M",5401,2296996,235.1
"Total","1999","1999","39 years","39",,,8515,4620569,184.3
,"1999","1999","40 years","40","Female","F",3256,2341168,139.1
,"1999","1999","40 years","40","Male","M",5780,2326357,248.5
"Total","1999","1999","40 years","40",,,9036,4667525,193.6
,"1999","1999","41 years","41","Female","F",3537,2250723,157.1
,"1999","1999","41 years","41","Male","M",6270,2211175,283.6
"Total","1999","1999","41 years","41",,,9807,4461898,219.8
,"1999","1999","42 years","42","Female","F",3827,2271051,168.5
,"1999","1999","42 years","42","Male","M",6646,2235880,297.2
"Total","1999","1999","42 years","42",,,10473,4506931,232.4
,"1999","1999","43 years","43","Female","F",4029,2179527,184.9
,"1999","1999","43 years","43","Male","M",7183,2118325,339.1
"Total","1999","1999","43 years","43",,,11212,4297852,260.9
,"1999","1999","44 years","44","Female","F",4366,2152981,202.8
,"1999","1999","44 years","44","Male","M",7558,2106941,358.7
"Total","1999","1999","44 years","44",,,11924,4259922,279.9
,"1999","1999","45 years","45","Female","F",4568,2146028,212.9
,"1999","1999","45 years","45","Male","M",7839,2099854,373.3
"Total","1999","1999","45 years","45",,,12407,4245882,292.2
,"1999","1999","46 years","46","Female","F",4714,2031823,232.0
,"1999","1999","46 years","46","Male","M",8392,1963127,427.5
"Total","1999","1999","46 years","46",,,13106,3994950,328.1
,"1999","1999","47 years","47","Female","F",4905,2002180,245.0
,"1999","1999","47 years","47","Male","M",8645,1934967,446.8
"Total","1999","1999","47 years","47",,,13550,3937147,344.2
,"1999","1999","48 years","48","Female","F",5109,1889850,270.3
,"1999","1999","48 years","48","Male","M",8930,1820806,490.4
"Total","1999","1999","48 years","48",,,14039,3710656,378.3
,"1999","1999","49 years","49","Female","F",5521,1917853,287.9
,"1999","1999","49 years","49","Male","M",9497,1847719,514.0
"Total","1999","1999","49 years","49",,,15018,3765572,398.8
,"1999","1999","50 years","50","Female","F",5858,1915145,305.9
,"1999","1999","50 years","50","Male","M",9775,1847555,529.1
"Total","1999","1999","50 years","50",,,15633,3762700,415.5
,"1999","1999","51 years","51","Female","F",6400,1839362,347.9
,"1999","1999","51 years","51","Male","M",10470,1762492,594.0
"Total","1999","1999","51 years","51",,,16870,3601854,468.4
,"1999","1999","52 years","52","Female","F",7177,1972464,363.9
,"1999","1999","52 years","52","Male","M",11509,1900702,605.5
"Total","1999","1999","52 years","52",,,18686,3873166,482.4
,"1999","1999","53 years","53","Female","F",6313,1430150,441.4
,"1999","1999","53 years","53","Male","M",9885,1355175,729.4
"Total","1999","1999","53 years","53",,,16198,2785325,581.5
,"1999","1999","54 years","54","Female","F",6750,1487450,453.8
,"1999","1999","54 years","54","Male","M",10717,1413117,758.4
"Total","1999","1999","54 years","54",,,17467,2900567,602.2
,"1999","1999","55 years","55","Female","F",7423,1468560,505.5
,"1999","1999","55 years","55","Male","M",11728,1390616,843.4
"Total","1999","1999","55 years","55",,,19151,2859176,669.8
,"1999","1999","56 years","56","Female","F",8416,1510736,557.1
,"1999","1999","56 years","56","Male","M",12919,1423773,907.4
"Total","1999","1999","56 years","56",,,21335,2934509,727.0
,"1999","1999","57 years","57","Female","F",8132,1327155,612.7
,"1999","1999","57 years","57","Male","M",12509,1234061,1013.6
"Total","1999","1999","57 years","57",,,20641,2561216,805.9
,"1999","1999","58 years","58","Female","F",8463,1252109,675.9
,"1999","1999","58 years","58","Male","M",12865,1160403,1108.7
"Total","1999","1999","58 years","58",,,21328,2412512,884.1
,"1999","1999","59 years","59","Female","F",9009,1206474,746.7
,"1999","1999","59 years","59","Male","M",13420,1110934,1208.0
"Total","1999","1999","59 years","59",,,22429,2317408,967.8
,"1999","1999","60 years","60","Female","F",9504,1205799,788.2
,"1999","1999","60 years","60","Male","M",14016,1107631,1265.4
"Total","1999","1999","60 years","60",,,23520,2313430,1016.7
,"1999","1999","61 years","61","Female","F",10206,1138272,896.6
,"1999","1999","61 years","61","Male","M",14881,1040279,1430.5
"Total","1999","1999","61 years","61",,,25087,2178551,1151.5
,"1999","1999","62 years","62","Female","F",10734,1089367,985.3
,"1999","1999","62 years","62","Male","M",15506,986960,1571.1
"Total","1999","1999","62 years","62",,,26240,2076327,1263.8
,"1999","1999","63 years","63","Female","F",11590,1083500,1069.7
,"1999","1999","63 years","63","Male","M",16626,971465,1711.4
"Total","1999","1999","63 years","63",,,28216,2054965,1373.1
,"1999","1999","64 years","64","Female","F",12778,1096791,1165.0
,"1999","1999","64 years","64","Male","M",18254,973141,1875.8
"Total","1999","1999","64 years","64",,,31032,2069932,1499.2
,"1999","1999","65 years","65","Female","F",13404,1018034,1316.7
,"1999","1999","65 years","65","Male","M",18538,895420,2070.3
"Total","1999","1999","65 years","65",,,31942,1913454,1669.3
,"1999","1999","66 years","66","Female","F",14491,1018914,1422.2
,"1999","1999","66 years","66","Male","M",19743,877447,2250.1
"Total","1999","1999","66 years","66",,,34234,1896361,1805.2
,"1999","1999","67 years","67","Female","F",15509,1035759,1497.4
,"1999","1999","67 years","67","Male","M",21115,880924,2396.9
"Total","1999","1999","67 years","67",,,36624,1916683,1910.8
,"1999","1999","68 years","68","Female","F",16988,1038635,1635.6
,"1999","1999","68 years","68","Male","M",23073,879176,2624.4
"Total","1999","1999","68 years","68",,,40061,1917811,2088.9
,"1999","1999","69 years","69","Female","F",18774,1030646,1821.6
,"1999","1999","69 years","69","Male","M",25060,866543,2892.0
"Total","1999","1999","69 years","69",,,43834,1897189,2310.5
,"1999","1999","70 years","70","Female","F",19954,1036615,1924.9
,"1999","1999","70 years","70","Male","M",25849,835920,3092.3
"Total","1999","1999","70 years","70",,,45803,1872535,2446.0
,"1999","1999","71 years","71","Female","F",21793,1013700,2149.8
,"1999","1999","71 years","71","Male","M",28204,817115,3451.7
"Total","1999","1999","71 years","71",,,49997,1830815,2730.9
,"1999","1999","72 years","72","Female","F",23669,984670,2403.7
,"1999","1999","72 years","72","Male","M",29893,766712,3898.9
"Total","1999","1999","72 years","72",,,53562,1751382,3058.3
,"1999","1999","73 years","73","Female","F",25383,969353,2618.6
,"1999","1999","73 years","73","Male","M",31073,745037,4170.7
"Total","1999","1999","73 years","73",,,56456,1714390,3293.1
,"1999","1999","74 years","74","Female","F",27715,979098,2830.7
,"1999","1999","74 years","74","Male","M",32372,729191,4439.4
"Total","1999","1999","74 years","74",,,60087,1708289,3517.4
,"1999","1999","75 years","75","Female","F",29240,947146,3087.2
,"1999","1999","75 years","75","Male","M",33584,690588,4863.1
"Total","1999","1999","75 years","75",,,62824,1637734,3836.0
,"1999","1999","76 years","76","Female","F",30499,899769,3389.6
,"1999","1999","76 years","76","Male","M",33944,639518,5307.7
"Total","1999","1999","76 years","76",,,64443,1539287,4186.5
,"1999","1999","77 years","77","Female","F",32953,882594,3733.7
,"1999","1999","77 years","77","Male","M",35701,616768,5788.4
"Total","1999","1999","77 years","77",,,68654,1499362,4578.9
,"1999","1999","78 years","78","Female","F",34756,837925,4147.9
,"1999","1999","78 years","78","Male","M",36020,569315,6326.9
"Total","1999","1999","78 years","78",,,70776,1407240,5029.4
,"1999","1999","79 years","79","Female","F",36048,763787,4719.6
,"1999","1999","79 years","79","Male","M",35604,495196,7189.9
"Total","1999","1999","79 years","79",,,71652,1258983,5691.3
,"1999","1999","80 years","80","Female","F",36414,729846,4989.3
,"1999","1999","80 years","80","Male","M",33930,459536,7383.5
"Total","1999","1999","80 years","80",,,70344,1189382,5914.3
,"1999","1999","81 years","81","Female","F",37609,653248,5757.2
,"1999","1999","81 years","81","Male","M",34429,394017,8737.9
"Total","1999","1999","81 years","81",,,72038,1047265,6878.7
,"1999","1999","82 years","82","Female","F",38957,610394,6382.3
,"1999","1999","82 years","82","Male","M",33404,361782,9233.2
"Total","1999","1999","82 years","82",,,72361,972176,7443.2
,"1999","1999","83 years","83","Female","F",39836,563499,7069.4
,"1999","1999","83 years","83","Male","M",32623,311593,10469.7
"Total","1999","1999","83 years","83",,,72459,875092,8280.2
,"1999","1999","84 years","84","Female","F",41308,522990,7898.4
,"1999","1999","84 years","84","Male","M",31731,275403,11521.7
"Total","1999","1999","84 years","84",,,73039,798393,9148.3
,"1999","1999","85 years","85","Female","F",41775,Not Applicable,Not Applicable
,"1999","1999","85 years","85","Male","M",30524,Not Applicable,Not Applicable
"Total","1999","1999","85 years","85",,,72299,Not Applicable,Not Applicable
,"1999","1999","86 years","86","Female","F",42335,Not Applicable,Not Applicable
,"1999","1999","86 years","86","Male","M",27775,Not Applicable,Not Applicable
"Total","1999","1999","86 years","86",,,70110,Not Applicable,Not Applicable
,"1999","1999","87 years","87","Female","F",40980,Not Applicable,Not Applicable
,"1999","1999","87 years","87","Male","M",25418,Not Applicable,Not Applicable
"Total","1999","1999","87 years","87",,,66398,Not Applicable,Not Applicable
,"1999","1999","88 years","88","Female","F",40513,Not Applicable,Not Applicable
,"1999","1999","88 years","88","Male","M",22655,Not Applicable,Not Applicable
"Total","1999","1999","88 years","88",,,63168,Not Applicable,Not Applicable
,"1999","1999","89 years","89","Female","F",38769,Not Applicable,Not Applicable
,"1999","1999","89 years","89","Male","M",20159,Not Applicable,Not Applicable
"Total","1999","1999","89 years","89",,,58928,Not Applicable,Not Applicable
,"1999","1999","90 years","90","Female","F",36153,Not Applicable,Not Applicable
,"1999","1999","90 years","90","Male","M",17257,Not Applicable,Not Applicable
"Total","1999","1999","90 years","90",,,53410,Not Applicable,Not Applicable
,"1999","1999","91 years","91","Female","F",34640,Not Applicable,Not Applicable
,"1999","1999","91 years","91","Male","M",15012,Not Applicable,Not Applicable
"Total","1999","1999","91 years","91",,,49652,Not Applicable,Not Applicable
,"1999","1999","92 years","92","Female","F",30736,Not Applicable,Not Applicable
,"1999","1999","92 years","92","Male","M",12385,Not Applicable,Not Applicable
"Total","1999","1999","92 years","92",,,43121,Not Applicable,Not Applicable
,"1999","1999","93 years","93","Female","F",26466,Not Applicable,Not Applicable
,"1999","1999","93 years","93","Male","M",9988,Not Applicable,Not Applicable
"Total","1999","1999","93 years","93",,,36454,Not Applicable,Not Applicable
,"1999","1999","94 years","94","Female","F",23485,Not Applicable,Not Applicable
,"1999","1999","94 years","94","Male","M",7869,Not Applicable,Not Applicable
"Total","1999","1999","94 years","94",,,31354,Not Applicable,Not Applicable
,"1999","1999","95 years","95","Female","F",19632,Not Applicable,Not Applicable
,"1999","1999","95 years","95","Male","M",6219,Not Applicable,Not Applicable
"Total","1999","1999","95 years","95",,,25851,Not Applicable,Not Applicable
,"1999","1999","96 years","96","Female","F",16099,Not Applicable,Not Applicable
,"1999","1999","96 years","96","Male","M",4639,Not Applicable,Not Applicable
"Total","1999","1999","96 years","96",,,20738,Not Applicable,Not Applicable
,"1999","1999","97 years","97","Female","F",12540,Not Applicable,Not Applicable
,"1999","1999","97 years","97","Male","M",3281,Not Applicable,Not Applicable
"Total","1999","1999","97 years","97",,,15821,Not Applicable,Not Applicable
,"1999","1999","98 years","98","Female","F",9823,Not Applicable,Not Applicable
,"1999","1999","98 years","98","Male","M",2270,Not Applicable,Not Applicable
"Total","1999","1999","98 years","98",,,12093,Not Applicable,Not Applicable
,"1999","1999","99 years","99","Female","F",7129,Not Applicable,Not Applicable
,"1999","1999","99 years","99","Male","M",1702,Not Applicable,Not Applicable
"Total","1999","1999","99 years","99",,,8831,Not Applicable,Not Applicable
,"1999","1999","100+ years","100","Female","F",15077,Not Applicable,Not Applicable
,"1999","1999","100+ years","100","Male","M",2836,Not Applicable,Not Applicable
"Total","1999","1999","100+ years","100",,,17913,Not Applicable,Not Applicable
,"1999","1999","Not Stated","NS","Female","F",79,Not Applicable,Not Applicable
,"1999","1999","Not Stated","NS","Male","M",277,Not Applicable,Not Applicable
"Total","1999","1999","Not Stated","NS",,,356,Not Applicable,Not Applicable
"Total","1999","1999",,,,,2391399,279040168,857.0
,"2000","2000","< 1 year","0","Female","F",12317,1856631,663.4
,"2000","2000","< 1 year","0","Male","M",15718,1949017,806.5
"Total","2000","2000","< 1 year","0",,,28035,3805648,736.7
,"2000","2000","1 year","1","Female","F",856,1867477,45.8
,"2000","2000","1 year","1","Male","M",1090,1953105,55.8
"Total","2000","2000","1 year","1",,,1946,3820582,50.9
,"2000","2000","2 years","2","Female","F",571,1851456,30.8
,"2000","2000","2 years","2","Male","M",746,1938990,38.5
"Total","2000","2000","2 years","2",,,1317,3790446,34.7
,"2000","2000","3 years","3","Female","F",374,1873836,20.0
,"2000","2000","3 years","3","Male","M",558,1958963,28.5
"Total","2000","2000","3 years","3",,,932,3832799,24.3
,"2000","2000","4 years","4","Female","F",354,1915665,18.5
,"2000","2000","4 years","4","Male","M",430,2010658,21.4
"Total","2000","2000","4 years","4",,,784,3926323,20.0
,"2000","2000","5 years","5","Female","F",314,1934031,16.2
,"2000","2000","5 years","5","Male","M",430,2031072,21.2
"Total","2000","2000","5 years","5",,,744,3965103,18.8
,"2000","2000","6 years","6","Female","F",273,1961488,13.9
,"2000","2000","6 years","6","Male","M",380,2058217,18.5
"Total","2000","2000","6 years","6",,,653,4019705,16.2
,"2000","2000","7 years","7","Female","F",295,2008279,14.7
,"2000","2000","7 years","7","Male","M",347,2109868,16.4
"Total","2000","2000","7 years","7",,,642,4118147,15.6
,"2000","2000","8 years","8","Female","F",260,2041401,12.7
,"2000","2000","8 years","8","Male","M",349,2137829,16.3
"Total","2000","2000","8 years","8",,,609,4179230,14.6
,"2000","2000","9 years","9","Female","F",261,2081029,12.5
,"2000","2000","9 years","9","Male","M",344,2186291,15.7
"Total","2000","2000","9 years","9",,,605,4267320,14.2
,"2000","2000","10 years","10","Female","F",254,2082812,12.2
,"2000","2000","10 years","10","Male","M",390,2191244,17.8
"Total","2000","2000","10 years","10",,,644,4274056,15.1
,"2000","2000","11 years","11","Female","F",301,2006936,15.0
,"2000","2000","11 years","11","Male","M",441,2108157,20.9
"Total","2000","2000","11 years","11",,,742,4115093,18.0
,"2000","2000","12 years","12","Female","F",279,1988614,14.0
,"2000","2000","12 years","12","Male","M",462,2087228,22.1
"Total","2000","2000","12 years","12",,,741,4075842,18.2
,"2000","2000","13 years","13","Female","F",339,1956842,17.3
,"2000","2000","13 years","13","Male","M",533,2054008,25.9
"Total","2000","2000","13 years","13",,,872,4010850,21.7
,"2000","2000","14 years","14","Female","F",436,1972671,22.1
,"2000","2000","14 years","14","Male","M",725,2079560,34.9
"Total","2000","2000","14 years","14",,,1161,4052231,28.7
,"2000","2000","15 years","15","Female","F",540,1954277,27.6
,"2000","2000","15 years","15","Male","M",1019,2065127,49.3
"Total","2000","2000","15 years","15",,,1559,4019404,38.8
,"2000","2000","16 years","16","Female","F",716,1926439,37.2
,"2000","2000","16 years","16","Male","M",1493,2048582,72.9
"Total","2000","2000","16 years","16",,,2209,3975021,55.6
,"2000","2000","17 years","17","Female","F",784,1954732,40.1
,"2000","2000","17 years","17","Male","M",1952,2091280,93.3
"Total","2000","2000","17 years","17",,,2736,4046012,67.6
,"2000","2000","18 years","18","Female","F",927,1972745,47.0
,"2000","2000","18 years","18","Male","M",2440,2078853,117.4
"Total","2000","2000","18 years","18",,,3367,4051598,83.1
,"2000","2000","19 years","19","Female","F",899,2020693,44.5
,"2000","2000","19 years","19","Male","M",2793,2107162,132.5
"Total","2000","2000","19 years","19",,,3692,4127855,89.4
,"2000","2000","20 years","20","Female","F",911,1978228,46.1
,"2000","2000","20 years","20","Male","M",2812,2071220,135.8
"Total","2000","2000","20 years","20",,,3723,4049448,91.9
,"2000","2000","21 years","21","Female","F",924,1875409,49.3
,"2000","2000","21 years","21","Male","M",2855,1965673,145.2
"Total","2000","2000","21 years","21",,,3779,3841082,98.4
,"2000","2000","22 years","22","Female","F",863,1837099,47.0
,"2000","2000","22 years","22","Male","M",2649,1921549,137.9
"Total","2000","2000","22 years","22",,,3512,3758648,93.4
,"2000","2000","23 years","23","Female","F",850,1798182,47.3
,"2000","2000","23 years","23","Male","M",2546,1875400,135.8
"Total","2000","2000","23 years","23",,,3396,3673582,92.4
,"2000","2000","24 years","24","Female","F",822,1787269,46.0
,"2000","2000","24 years","24","Male","M",2512,1853972,135.5
"Total","2000","2000","24 years","24",,,3334,3641241,91.6
,"2000","2000","25 years","25","Female","F",894,1838640,48.6
,"2000","2000","25 years","25","Male","M",2405,1905899,126.2
"Total","2000","2000","25 years","25",,,3299,3744539,88.1
,"2000","2000","26 years","26","Female","F",900,1787277,50.4
,"2000","2000","26 years","26","Male","M",2349,1832383,128.2
"Total","2000","2000","26 years","26",,,3249,3619660,89.8
,"2000","2000","27 years","27","Female","F",999,1874853,53.3
,"2000","2000","27 years","27","Male","M",2483,1914947,129.7
"Total","2000","2000","27 years","27",,,3482,3789800,91.9
,"2000","2000","28 years","28","Female","F",1068,1974005,54.1
,"2000","2000","28 years","28","Male","M",2561,2010807,127.4
"Total","2000","2000","28 years","28",,,3629,3984812,91.1
,"2000","2000","29 years","29","Female","F",1201,2107801,57.0
,"2000","2000","29 years","29","Male","M",2821,2134724,132.1
"Total","2000","2000","29 years","29",,,4022,4242525,94.8
,"2000","2000","30 years","30","Female","F",1260,2115732,59.6
,"2000","2000","30 years","30","Male","M",2765,2174238,127.2
"Total","2000","2000","30 years","30",,,4025,4289970,93.8
,"2000","2000","31 years","31","Female","F",1366,1991793,68.6
,"2000","2000","31 years","31","Male","M",2889,2019782,143.0
"Total","2000","2000","31 years","31",,,4255,4011575,106.1
,"2000","2000","32 years","32","Female","F",1464,1985244,73.7
,"2000","2000","32 years","32","Male","M",2918,2008877,145.3
"Total","2000","2000","32 years","32",,,4382,3994121,109.7
,"2000","2000","33 years","33","Female","F",1620,2008556,80.7
,"2000","2000","33 years","33","Male","M",3166,2018017,156.9
"Total","2000","2000","33 years","33",,,4786,4026573,118.9
,"2000","2000","34 years","34","Female","F",1789,2087294,85.7
,"2000","2000","34 years","34","Male","M",3533,2100855,168.2
"Total","2000","2000","34 years","34",,,5322,4188149,127.1
,"2000","2000","35 years","35","Female","F",2030,2250497,90.2
,"2000","2000","35 years","35","Male","M",3861,2265621,170.4
"Total","2000","2000","35 years","35",,,5891,4516118,130.4
,"2000","2000","36 years","36","Female","F",2291,2263639,101.2
,"2000","2000","36 years","36","Male","M",4275,2247529,190.2
"Total","2000","2000","36 years","36",,,6566,4511168,145.5
,"2000","2000","37 years","37","Female","F",2611,2266938,115.2
,"2000","2000","37 years","37","Male","M",4624,2250122,205.5
"Total","2000","2000","37 years","37",,,7235,4517060,160.2
,"2000","2000","38 years","38","Female","F",2802,2285731,122.6
,"2000","2000","38 years","38","Male","M",5099,2268083,224.8
"Total","2000","2000","38 years","38",,,7901,4553814,173.5
,"2000","2000","39 years","39","Female","F",3154,2321163,135.9
,"2000","2000","39 years","39","Male","M",5393,2287341,235.8
"Total","2000","2000","39 years","39",,,8547,4608504,185.5
,"2000","2000","40 years","40","Female","F",3402,2358828,144.2
,"2000","2000","40 years","40","Male","M",6003,2352606,255.2
"Total","2000","2000","40 years","40",,,9405,4711434,199.6
,"2000","2000","41 years","41","Female","F",3681,2253642,163.3
,"2000","2000","41 years","41","Male","M",6292,2213034,284.3
"Total","2000","2000","41 years","41",,,9973,4466676,223.3
,"2000","2000","42 years","42","Female","F",3869,2290677,168.9
,"2000","2000","42 years","42","Male","M",6731,2256543,298.3
"Total","2000","2000","42 years","42",,,10600,4547220,233.1
,"2000","2000","43 years","43","Female","F",4290,2229419,192.4
,"2000","2000","43 years","43","Male","M",7339,2178451,336.9
"Total","2000","2000","43 years","43",,,11629,4407870,263.8
,"2000","2000","44 years","44","Female","F",4371,2180195,200.5
,"2000","2000","44 years","44","Male","M",7680,2128468,360.8
"Total","2000","2000","44 years","44",,,12051,4308663,279.7
,"2000","2000","45 years","45","Female","F",4735,2190345,216.2
,"2000","2000","45 years","45","Male","M",8170,2151115,379.8
"Total","2000","2000","45 years","45",,,12905,4341460,297.3
,"2000","2000","46 years","46","Female","F",4811,2077993,231.5
,"2000","2000","46 years","46","Male","M",8579,2009570,426.9
"Total","2000","2000","46 years","46",,,13390,4087563,327.6
,"2000","2000","47 years","47","Female","F",5148,2043564,251.9
,"2000","2000","47 years","47","Male","M",9016,1976128,456.2
"Total","2000","2000","47 years","47",,,14164,4019692,352.4
,"2000","2000","48 years","48","Female","F",5356,1975473,271.1
,"2000","2000","48 years","48","Male","M",9531,1909672,499.1
"Total","2000","2000","48 years","48",,,14887,3885145,383.2
,"2000","2000","49 years","49","Female","F",5661,1915523,295.5
,"2000","2000","49 years","49","Male","M",9825,1843021,533.1
"Total","2000","2000","49 years","49",,,15486,3758544,412.0
,"2000","2000","50 years","50","Female","F",6100,1936877,314.9
,"2000","2000","50 years","50","Male","M",10256,1871638,548.0
